what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1249689557690
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1249689557691
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1249689557691
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1249689557691
started,bundle,org.eclipse.wst.jsdt.core,1.0.200.v200905201910,"org.eclipse.wst.jsdt.core",1249689557692
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1249689557692
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1249689557692
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1249689557693
started,bundle,org.eclipse.wst.sse.ui,1.1.100.v200905141750,"org.eclipse.wst.sse.ui",1249689557694
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1249689557694
os,sysinfo,,,"macosx",1249689557697
arch,sysinfo,,,"x86",1249689557697
ws,sysinfo,,,"cocoa",1249689557697
locale,sysinfo,,,"de_DE",1249689557697
processors,sysinfo,,,"2",1249689557697
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1249689557697
java.runtime.version,sysinfo,,,"1.5.0_19-b02-304",1249689557697
java.specification.name,sysinfo,,,"Java Platform API Specification",1249689557697
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1249689557697
java.specification.version,sysinfo,,,"1.5",1249689557697
java.vendor,sysinfo,,,"Apple Inc.",1249689557697
java.version,sysinfo,,,"1.5.0_19",1249689557697
java.vm.info,sysinfo,,,"mixed mode",1249689557697
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1249689557697
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1249689557697
